ID,Type,SKU,Name,Published,Featured,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wcj_product_price_by_user_role_enabled
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-DOSSO-FIG-II-2,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Dosso Fig. II/2,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CUNETTA-FIG-II-3,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Cunetta Fig. II/3,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CURVA-PERICOLOSA-DES,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Curva pericolosa destra Fig. 4,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CURVA-PERICOLOSA-SIN,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Curva pericolosa sinistra Fig. II/5,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-DOPPIA-CURVA-PRIMA-A,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Doppia curva prima a destra Fig. II.6,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-DOPPIA-CURVA-PRIMA-A,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Doppia curva prima a sinistra Fig. II.7,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-PASSAGGIO-A-LIVELLO-,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Passaggio a livello con barriere Fig. II.8,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-PASSAGGIO-A-LIVELLO-,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Passaggio a livello senza barriere Fig. II.9,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-ATTRAVERSAMENTO-TRAM,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Attraversamento tramviario Fig. 12,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-ATTRAVERSAMENTO-PEDO,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Attraversamento pedonale Fig. 13,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-ATTRAVERSAMENTO-CICL,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Attraversamento ciclabile Fig. 14,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-SALITA-RIPIDA-FIG-16,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Salita ripida Fig. 16,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-STRETTOIA-SIMMETRICA,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Strettoia simmetrica Fig. 17,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-STRETTOIA-ASIMMETRIC,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Strettoia asimmetrica sinistra Fig. 18,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-STRETTOIA-ASIMMETRIC,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Strettoia asimmetrica destra Fig. 19,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-PONTE-MOBILE-FIG-20,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.63,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Ponte mobile Fig. 20,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-BANCHINA-PERICOLOSA-,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Banchina pericolosa Fig. 21,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-STRADA-SDRUCCIOLEVOL,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Strada sdrucciolevole Fig. 22,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-BAMBINI-FIG-23,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Bambini Fig. 23,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-ANIMALI-DOMESTICI-VA,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Animali domestici vaganti Fig. 24,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-ANIMALI-SELVATICI-VA,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Animali selvatici vaganti Fig. 25,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-DOPPIO-SENSO-DI-CIRC,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Doppio senso di circolazione Fig. 26,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CIRCOLAZIONE-ROTATOR,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Circolazione rotatoria Fig. 27,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-SBOCCO-SU-MOLO-O-ARG,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.63,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Sbocco su molo o argine Fig. 28,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CADUTA-MASSI-SX-FIG-,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Caduta massi SX Fig. 30b,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-SEMAFORO-FIG-31A,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Semaforo Fig. 31a,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-AEROMOBILI-FIG-32,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.63,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Aeromobili Fig. 32,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-FORTE-VENTO-LATERALE,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Forte vento laterale Fig. 33,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-PERICOLO-DI-INCENDIO,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Pericolo di incendio Fig. 34,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-ALTRI-PERICOLI-FIG-3,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Altri pericoli Fig. 35,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-INTERSEZIONE-CON-PRE,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,33.88,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Intersezione con precedenza a destra Fig. 40 — **Classe 2**,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-INTERSEZIONE-CON-DIR,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Intersezione con diritto di precedenza Fig. 43a,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-INTERSEZIONE-A-T-PRE,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Intersezione a T precedenza dx Fig. 43/b,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-INTERSEZIONE-A-T-PRE,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Intersezione a T precedenza sx Fig. 43/c,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CONFLUENZA-A-DESTRA-,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.63,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Confluenza a destra Fig. 43/d,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-CONFLUENZA-A-SINISTR,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.63,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Confluenza a sinistra Fig. 43/e,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-DARE-PRECEDENZA-FIG-,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,33.88,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Dare precedenza Fig. 36 — **Classe 2**,1,1,
,variable,MS-CARTELLO-DISCO,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,,,,,,,0,Taglia,"Passaggi consentiti 40 cm Fig. 83|Percorso pedonale e ciclabile 60 cm Fig. 92/b|Transito vietato esplosivi/infiammabili Fig. 64/a|Divieto di sorpasso Fig. 48 — **Classe 2**|Senso vietato Fig. 47|Distanziamento minimo obbligatorio Fig. 49|Divieto segnalazioni acustiche Fig. 51|Transito vietato veicoli trazione animale Fig. 53|Transito vietato pedoni Fig. 54|Transito vietato biciclette Fig. 55|Transito vietato motocicli Fig. 56|Transito vietato veicoli a braccia Fig. 57|Transito vietato autoveicoli Fig. 58|Transito vietato autobus Fig. 59|Transito vietato macchine agricole Fig. 62|Trasporto merci pericolose Fig. 63|Transito vietato prodotti contaminanti Fig. 64/b|Divieto di sosta Fig. 74|Divieto di fermata Fig. 75|Dare precedenza sensi unici alternati Fig. 41|Divieto di transito Fig. 46|Divieto sorpasso veicoli >3,5t Fig. 52|Transito vietato veicoli massa >3,5t Fig. 60/a|Transito vietato massa >...ton Fig. 60/b|Transito vietato veicoli con rimorchio Fig. 61|Transito vietato larghezza superiore Fig. 65|Transito vietato altezza superiore Fig. 66|Transito vietato lunghezza massima Fig. II/67|Transito vietato massa superiore Fig. 68|Transito vietato massa per asse Fig. 69|Via libera Fig. 70|Passaggio obbligatorio sinistra Fig. 82/a|Passaggio obbligatorio destra Fig. 82/b|Passaggi consentiti 60 cm Fig. 83|Direzioni consentite diritto e destra Fig. 81/b|Direzioni consentite diritto e sinistra Fig. 81/c|Rotatoria Fig. 84|Catene per neve obbligatorie Fig. 87|Fine limite minimo di velocità Fig. 86|Limite minimo di velocità Fig. 85|Limite massimo velocità 80 km/h Fig. 50|Fine divieto di sorpasso >3,5t Fig. 73|Pista ciclabile contigua al marciapiede Fig. 92/a|Fine del divieto di sorpasso Fig. 72|Limite massimo velocità 90 km/h Fig. 50|Passaggio obbligatorio veicoli ingombranti Fig. — Classe 2",1,1,
,variation,MS-CARTELLO-DISCO-PASSAGGI-CONSENTITI-,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,13.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Passaggi consentiti 40 cm Fig. 83,1,1,
,variation,MS-CARTELLO-DISCO-PERCORSO-PEDONALE-E-,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Percorso pedonale e ciclabile 60 cm Fig. 92/b,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-ESP,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.07,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato esplosivi/infiammabili Fig. 64/a,1,1,
,variation,MS-CARTELLO-DISCO-DIVIETO-DI-SORPASSO-,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,33.37,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Divieto di sorpasso Fig. 48 — **Classe 2**,1,1,
,variation,MS-CARTELLO-DISCO-SENSO-VIETATO-FIG-47,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Senso vietato Fig. 47,1,1,
,variation,MS-CARTELLO-DISCO-DISTANZIAMENTO-MINIM,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.07,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Distanziamento minimo obbligatorio Fig. 49,1,1,
,variation,MS-CARTELLO-DISCO-DIVIETO-SEGNALAZIONI,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Divieto segnalazioni acustiche Fig. 51,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-VEI,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato veicoli trazione animale Fig. 53,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-PED,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato pedoni Fig. 54,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-BIC,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato biciclette Fig. 55,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-MOT,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato motocicli Fig. 56,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-VEI,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.07,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato veicoli a braccia Fig. 57,1,1,
,variation,MS-CARTELLO-DISCO-TRANSITO-VIETATO-AUT,Cartello Disco — Dischi 60 cm (prodotti singoli per figura),1,0,visible,,,taxable,,1,,0,0,,,,,1,,,26.58,Segnaletica Verticale,,,https://epanza.com/4755-large_default/cartello-stradale-passaggi-consentiti-disco-diametro-40-cm-classe-1-fig-83-lamiera.jpg,,,MS-CARTELLO-DISCO,,,,,,0,Taglia,Transito vietato autoveicoli Fig. 58,1,1,
